Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
1/1/14 0:00,15,0,2,11,2
1/1/14 1:00,9,1,0,7,1
1/1/14 2:00,9,0,0,9,0
1/1/14 3:00,19,0,0,19,0
1/1/14 4:00,19,0,0,19,0
1/1/14 5:00,14,0,0,14,0
1/1/14 6:00,10,0,1,8,1
1/1/14 7:00,10,2,3,1,4
1/1/14 8:00,27,12,6,1,8
1/1/14 9:00,29,5,14,2,8
1/1/14 10:00,70,14,16,0,40
1/1/14 11:00,107,20,39,1,47
1/1/14 12:00,126,36,31,0,59
1/1/14 13:00,102,21,16,0,65
1/1/14 14:00,115,16,20,1,78
1/1/14 15:00,100,25,17,0,58
1/1/14 16:00,50,18,15,0,17
1/1/14 17:00,18,6,3,0,9
1/1/14 18:00,3,1,1,1,0
1/1/14 19:00,16,5,3,4,4
1/1/14 20:00,2,0,0,2,0
1/1/14 21:00,6,2,0,3,1
1/1/14 22:00,20,3,2,15,0
1/1/14 23:00,17,0,0,16,1
1/2/14 0:00,22,0,0,22,0
1/2/14 1:00,63,0,0,63,0
1/2/14 2:00,59,0,0,59,0
1/2/14 3:00,52,0,0,52,0
1/2/14 4:00,73,0,0,73,0
1/2/14 5:00,49,1,0,48,0
1/2/14 6:00,10,2,0,6,2
1/2/14 7:00,13,4,0,2,7
1/2/14 8:00,16,5,0,2,9
1/2/14 9:00,29,14,0,0,15
1/2/14 10:00,14,9,0,0,5
1/2/14 11:00,19,9,0,1,9
1/2/14 12:00,18,9,0,0,9
1/2/14 13:00,49,11,14,9,15
1/2/14 14:00,47,12,9,14,12
1/2/14 15:00,65,16,21,8,20
1/2/14 16:00,70,15,14,14,27
1/2/14 17:00,36,2,3,7,24
1/2/14 18:00,31,2,2,9,18
1/2/14 19:00,14,1,0,1,12
1/2/14 20:00,6,0,0,1,5
1/2/14 21:00,2,1,1,0,0
1/2/14 22:00,1,1,0,0,0
1/2/14 23:00,0,0,0,0,0
1/3/14 0:00,0,0,0,0,0
1/3/14 1:00,1,0,0,0,1
1/3/14 2:00,2,0,0,0,2
1/3/14 3:00,3,1,1,1,0
1/3/14 4:00,8,0,0,7,1
1/3/14 5:00,5,1,0,4,0
1/3/14 6:00,16,3,1,10,2
1/3/14 7:00,36,1,7,25,3
1/3/14 8:00,48,6,9,28,5
1/3/14 9:00,58,9,5,31,13
1/3/14 10:00,47,12,13,10,12
1/3/14 11:00,71,16,14,20,21
1/3/14 12:00,76,15,14,19,28
1/3/14 13:00,90,15,13,28,34
1/3/14 14:00,101,18,12,31,40
1/3/14 15:00,111,15,18,42,36
1/3/14 16:00,113,23,21,24,45
1/3/14 17:00,63,5,10,15,33
1/3/14 18:00,38,6,2,10,20
1/3/14 19:00,8,1,0,2,5
1/3/14 20:00,8,0,5,0,3
1/3/14 21:00,5,1,1,0,3
1/3/14 22:00,1,0,0,0,1
1/3/14 23:00,0,0,0,0,0
1/4/14 0:00,0,0,0,0,0
1/4/14 1:00,0,0,0,0,0
1/4/14 2:00,1,0,0,0,1
1/4/14 3:00,0,0,0,0,0
1/4/14 4:00,1,0,0,0,1
1/4/14 5:00,3,1,1,0,1
1/4/14 6:00,7,2,3,2,0
1/4/14 7:00,10,4,4,1,1
1/4/14 8:00,53,10,13,19,11
1/4/14 9:00,77,22,21,14,20
1/4/14 10:00,101,24,19,27,31
1/4/14 11:00,167,26,29,42,70
1/4/14 12:00,141,18,14,64,45
1/4/14 13:00,221,16,22,84,99
1/4/14 14:00,221,29,29,93,70
1/4/14 15:00,218,30,29,85,74
1/4/14 16:00,109,27,15,42,25
1/4/14 17:00,19,5,2,7,5
1/4/14 18:00,6,2,1,1,2
1/4/14 19:00,7,1,1,2,3
1/4/14 20:00,4,1,1,0,2
1/4/14 21:00,2,0,1,1,0
1/4/14 22:00,3,2,1,0,0
1/4/14 23:00,2,1,1,0,0
1/5/14 0:00,1,0,0,0,1
1/5/14 1:00,0,0,0,0,0
1/5/14 2:00,0,0,0,0,0
1/5/14 3:00,0,0,0,0,0
1/5/14 4:00,1,0,0,0,1
1/5/14 5:00,1,0,0,1,0
1/5/14 6:00,5,0,0,1,4
1/5/14 7:00,20,2,10,4,4
1/5/14 8:00,32,9,7,3,13
1/5/14 9:00,66,13,21,10,22
1/5/14 10:00,65,18,16,12,19
1/5/14 11:00,103,12,19,30,42
1/5/14 12:00,131,16,19,49,47
1/5/14 13:00,179,29,21,68,61
1/5/14 14:00,159,31,27,59,42
1/5/14 15:00,152,24,26,52,50
1/5/14 16:00,80,24,14,31,11
1/5/14 17:00,19,6,2,6,5
1/5/14 18:00,4,2,0,1,1
1/5/14 19:00,1,0,1,0,0
1/5/14 20:00,6,2,2,0,2
1/5/14 21:00,2,0,2,0,0
1/5/14 22:00,0,0,0,0,0
1/5/14 23:00,0,0,0,0,0
1/6/14 0:00,0,0,0,0,0
1/6/14 1:00,0,0,0,0,0
1/6/14 2:00,0,0,0,0,0
1/6/14 3:00,0,0,0,0,0
1/6/14 4:00,3,0,0,3,0
1/6/14 5:00,5,0,0,5,0
1/6/14 6:00,28,5,5,16,2
1/6/14 7:00,37,5,3,23,6
1/6/14 8:00,63,8,5,41,9
1/6/14 9:00,41,7,8,17,9
1/6/14 10:00,58,18,15,19,6
1/6/14 11:00,38,11,10,8,9
1/6/14 12:00,38,12,12,5,9
1/6/14 13:00,47,11,9,13,14
1/6/14 14:00,54,8,5,21,20
1/6/14 15:00,50,10,16,12,12
1/6/14 16:00,81,15,17,15,34
1/6/14 17:00,65,6,4,12,43
1/6/14 18:00,52,1,4,13,34
1/6/14 19:00,9,0,0,2,7
1/6/14 20:00,5,0,0,2,3
1/6/14 21:00,3,0,0,1,2
1/6/14 22:00,4,0,0,3,1
1/6/14 23:00,3,0,1,1,1
1/7/14 0:00,3,2,0,1,0
1/7/14 1:00,0,0,0,0,0
1/7/14 2:00,0,0,0,0,0
1/7/14 3:00,0,0,0,0,0
1/7/14 4:00,4,0,0,4,0
1/7/14 5:00,7,0,1,6,0
1/7/14 6:00,18,2,1,13,2
1/7/14 7:00,52,11,6,29,6
1/7/14 8:00,55,8,6,33,8
1/7/14 9:00,38,9,10,12,7
1/7/14 10:00,24,7,6,7,4
1/7/14 11:00,33,8,6,9,10
1/7/14 12:00,22,6,5,7,4
1/7/14 13:00,16,3,3,6,4
1/7/14 14:00,24,5,2,6,11
1/7/14 15:00,22,4,5,4,9
1/7/14 16:00,56,6,10,10,30
1/7/14 17:00,53,5,6,10,32
1/7/14 18:00,35,4,3,7,21
1/7/14 19:00,20,0,0,6,14
1/7/14 20:00,2,1,1,0,0
1/7/14 21:00,5,0,0,1,4
1/7/14 22:00,4,2,0,1,1
1/7/14 23:00,2,0,0,1,1
1/8/14 0:00,1,0,0,1,0
1/8/14 1:00,0,0,0,0,0
1/8/14 2:00,1,0,0,0,1
1/8/14 3:00,1,0,0,1,0
1/8/14 4:00,4,0,0,4,0
1/8/14 5:00,13,1,1,10,1
1/8/14 6:00,34,10,12,10,2
1/8/14 7:00,39,2,2,34,1
1/8/14 8:00,63,11,10,33,9
1/8/14 9:00,67,12,11,28,16
1/8/14 10:00,32,8,8,9,7
1/8/14 11:00,31,6,8,10,7
1/8/14 12:00,24,7,5,3,9
1/8/14 13:00,19,4,6,1,8
1/8/14 14:00,23,4,5,4,10
1/8/14 15:00,37,8,10,6,13
1/8/14 16:00,50,10,8,8,24
1/8/14 17:00,49,4,3,8,34
1/8/14 18:00,41,0,2,13,26
1/8/14 19:00,14,3,1,0,10
1/8/14 20:00,14,0,1,4,9
1/8/14 21:00,3,1,1,0,1
1/8/14 22:00,6,4,0,1,1
1/8/14 23:00,3,2,1,0,0
1/9/14 0:00,1,0,0,0,1
1/9/14 1:00,0,0,0,0,0
1/9/14 2:00,0,0,0,0,0
1/9/14 3:00,1,0,0,1,0
1/9/14 4:00,2,0,0,2,0
1/9/14 5:00,8,2,1,5,0
1/9/14 6:00,23,5,3,12,3
1/9/14 7:00,46,4,7,30,5
1/9/14 8:00,80,6,10,45,19
1/9/14 9:00,51,6,12,19,14
1/9/14 10:00,53,18,14,11,10
1/9/14 11:00,36,10,10,11,5
1/9/14 12:00,27,6,6,11,4
1/9/14 13:00,19,3,4,6,6
1/9/14 14:00,25,7,8,7,3
1/9/14 15:00,37,10,9,6,12
1/9/14 16:00,64,9,9,9,37
1/9/14 17:00,56,3,5,13,35
1/9/14 18:00,36,5,4,9,18
1/9/14 19:00,20,0,1,4,15
1/9/14 20:00,9,1,1,1,6
1/9/14 21:00,7,1,1,2,3
1/9/14 22:00,4,1,0,2,1
1/9/14 23:00,2,0,0,0,2
1/10/14 0:00,0,0,0,0,0
1/10/14 1:00,0,0,0,0,0
1/10/14 2:00,0,0,0,0,0
1/10/14 3:00,0,0,0,0,0
1/10/14 4:00,2,0,0,2,0
1/10/14 5:00,8,2,0,6,0
1/10/14 6:00,24,7,5,10,2
1/10/14 7:00,31,5,2,20,4
1/10/14 8:00,46,6,6,28,6
1/10/14 9:00,105,37,45,12,11
1/10/14 10:00,52,17,15,14,6
1/10/14 11:00,50,18,10,12,10
1/10/14 12:00,42,14,11,7,10
1/10/14 13:00,46,11,15,10,10
1/10/14 14:00,35,11,7,3,14
1/10/14 15:00,31,7,8,5,11
1/10/14 16:00,56,12,9,11,24
1/10/14 17:00,50,2,7,4,37
1/10/14 18:00,23,1,1,5,16
1/10/14 19:00,14,2,3,2,7
1/10/14 20:00,4,0,0,0,4
1/10/14 21:00,4,0,1,2,1
1/10/14 22:00,5,1,0,2,2
1/10/14 23:00,2,1,0,1,0
1/11/14 0:00,0,0,0,0,0
1/11/14 1:00,0,0,0,0,0
1/11/14 2:00,0,0,0,0,0
1/11/14 3:00,0,0,0,0,0
1/11/14 4:00,0,0,0,0,0
1/11/14 5:00,0,0,0,0,0
1/11/14 6:00,1,0,0,1,0
1/11/14 7:00,8,2,2,1,3
1/11/14 8:00,40,9,21,5,5
1/11/14 9:00,68,24,19,13,12
1/11/14 10:00,81,17,27,13,24
1/11/14 11:00,54,24,10,10,10
1/11/14 12:00,23,4,6,7,6
1/11/14 13:00,37,7,7,16,7
1/11/14 14:00,23,9,5,5,4
1/11/14 15:00,16,7,6,1,2
1/11/14 16:00,15,4,3,5,3
1/11/14 17:00,12,4,3,2,3
1/11/14 18:00,5,1,1,2,1
1/11/14 19:00,7,2,2,2,1
